"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_type"	"wikidata_id"
"Mas d'en Xanxo"	"Mas d'en Xanxo"						
"Mas de Pagès"	"Mas de Pagès"						
"Mas de Capcir"	"Mas de Capcir"						
"Mas del Catxarrina"	"Mas del Catxarrina"						
"mas del Mano"	"mas del Mano"						
"Mas del Mano"	"Mas del Mano"						
"Mas d'en Vicent"	"Mas d'en Vicent"						
"Mas del Roig de l'Hostal"	"Mas del Roig de l'Hostal"						
"Mas de Castinyol"	"Mas de Castinyol"						
"Ajuntament de Tarragona : Servei d’Arxiu i Documentació Municipal"	"Ajuntament de Tarragona : Servei d’Arxiu i Documentació Municipal"						
"Mas de Sevil"	"Mas de Sevil"						
"Mas Peret de Gai"	"Mas Peret de Gai"						
"Castell dels Montgons"	"Castell dels Montgons"						
"Mas de Mascaró"	"Mas de Mascaró"						
"Mas d'Adseries"	"Mas d'Adseries"						
"Mas de les Flors"	"Mas de les Flors"						
"Mas d'en Garrot"	"Mas d'en Garrot"						
"Mas d'en Pastor"	"Mas d'en Pastor"						
"Bosc del Diable"	"Bosc del Diable"						
"Mas d'en Frare"	"Mas d'en Frare"						
"Mas d'en Morató"	"Mas d'en Morató"						
"Platja Llarga"	"Platja Llarga"						
"Mas Rabassa"	"Mas Rabassa"						
"Mas de la Creu"	"Mas de la Creu"						
"Mas de Godell"	"Mas de Godell"						
"Mas d'en Cosidor"	"Mas d'en Cosidor"						
"Mas d'en Jover"	"Mas d'en Jover"						
"Castell de Tamarit"	"Castell de Tamarit"						
"Mas Vell"	"Mas Vell"						
"Mas Nou"	"Mas Nou"						
"Palau Firal de Congressos"	"Palau Firal de Congressos"						
"Palau Firal i de Congressos"	"Palau Firal i de Congressos"						
"Mas Rosselló"	"Mas Rosselló"						
"Bosc de ribera"	"Bosc de ribera"						
"Bosc Mediterrani"	"Bosc Mediterrani"						
"Palau d'Esports Catalunya"	"Palau d'Esports Catalunya"						
"Mas dels Arcs"	"Mas dels Arcs"						
"Mas d'en Guardias"	"Mas d'en Guardias"						
"Mas del Llorito o Font de les Morisques"	"Mas del Llorito o Font de les Morisques"						
"Mas de l'Escorpina"	"Mas de l'Escorpina"						
"Mas de les Puces"	"Mas de les Puces"						
"Castell de Molnars"	"Castell de Molnars"						
"Mas de Pastor"	"Mas de Pastor"						
"Mas de Rafel"	"Mas de Rafel"						
"Mas de Pastoret"	"Mas de Pastoret"						
"Riu Gaià"	"Riu Gaià"						
"Mas d'en Grimau"	"Mas d'en Grimau"						
"Mas del Mèdol"	"Mas del Mèdol"						
"Castell de Ferran"	"Castell de Ferran"			"Castell de Ferran"	"Castell de Ferran"	"Wikimedia disambiguation page"	"Q63243453"
"Mas de Sorder"	"Mas de Sorder"						
"Mas de Pugatell"	"Mas de Pugatell"						
"Platja del Miracle"	"Platja del Miracle"						
"Palau Firal i de Congressos de Tarragona"	"Palau Firal i de Congressos de Tarragona"						
"Platja dels Cossis"	"Platja dels Cossis"						
"Platja de l'Arrabassada"	"Platja de l'Arrabassada"						
"Platja Savinosa"	"Platja Savinosa"						
"Platja dels Capellans"	"Platja dels Capellans"						
"Bosc de la Marquesa"	"Bosc de la Marquesa"						
"Platja de la Móra"	"Platja de la Móra"						
"Platja de Tamarit"	"Platja de Tamarit"						
"Platja d'Altafulla"	"Platja d'Altafulla"						
"Mas de les Barites"	"Mas de les Barites"						
"Mas de la Bassa de l'Olivera"	"Mas de la Bassa de l'Olivera"						
"Mas del Coll de la Manxa"	"Mas del Coll de la Manxa"						
"Mas de la Caseta Alta"	"Mas de la Caseta Alta"						
"Mas de Montoliu"	"Mas de Montoliu"						
"Mas de la Solaneta de Montardit"	"Mas de la Solaneta de Montardit"						
"Mas de Cinto"	"Mas de Cinto"						
"Mas del Moro"	"Mas del Moro"						
"Mas del Teixidor"	"Mas del Teixidor"						
"Mas de Sales de Matella"	"Mas de Sales de Matella"						
"Mas de Xima"	"Mas de Xima"						
"Mas de la Teuleria"	"Mas de la Teuleria"						
"Mas d'Arinesa"	"Mas d'Arinesa"						
"Mas de Mercades de Dalt"	"Mas de Mercades de Dalt"						
"mas del Riu Sec"	"mas del Riu Sec"						
"Castell de Culla"	"Castell de Culla"						
"Riu Sec"	"Riu Sec"						
"mas del Collet"	"mas del Collet"						
"mas de Fandos"	"mas de Fandos"						
"Mas de Maria de Jaumet"	"Mas de Maria de Jaumet"						
